word,Usage Count in Current Curriculum,Usage Count in Draft Curriculum,Percent of total words in Current Curriculum,Percent of total words in Draft Curriculum,Percent change from Current to Draft Curriculum
confirming,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
defend,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
enrich,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
lighting,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
multicultural,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
non-numerical,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
obtain,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
outlines,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
photography,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
plaster,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
relief,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
scan,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
seed,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
short-term,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
transformation,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
worms,5,1,6.0233706782315383e-05,7.418562727657144e-06,-0.8768370215954361
concerns,10,2,0.00012046741356463077,1.4837125455314288e-05,-0.8768370215954361
signals,10,2,0.00012046741356463077,1.4837125455314288e-05,-0.8768370215954361
squares,10,2,0.00012046741356463077,1.4837125455314288e-05,-0.8768370215954361
vehicles,10,2,0.00012046741356463077,1.4837125455314288e-05,-0.8768370215954361
volunteer,10,2,0.00012046741356463077,1.4837125455314288e-05,-0.8768370215954361
1-digit,15,3,0.00018070112034694616,2.225568818297143e-05,-0.8768370215954361
affairs,15,3,0.00018070112034694616,2.225568818297143e-05,-0.8768370215954361
relating,19,4,0.00022888808577279846,2.9674250910628575e-05,-0.8703547595741432
consensus,14,3,0.00016865437899048308,2.225568818297143e-05,-0.8680396659951101
cooperation,14,3,0.00016865437899048308,2.225568818297143e-05,-0.8680396659951101
sorting,14,3,0.00016865437899048308,2.225568818297143e-05,-0.8680396659951101
experimenting,9,2,0.00010842067220816769,1.4837125455314288e-05,-0.8631522462171513
